Species	Br	Bd	Bd^2
Panthera_leo	2.414137362	4.924279286	24.24852649
Panthera_onca	2.176091259	4.923984952	24.24562781
Panthera_pardus	2.130333768	4.681241237	21.91401952
Panthera_tigris	2.430934619	5.290034611	27.98446619
Paradoxurus_hermaphroditus	1.414137362	3.44302817	11.85444298
Phoca_fasciata	2.395763089	4.942404941	24.4273666
Phoca_groenlandica	2.442	5.121	26.224641
Phoca_largha	2.404406051	4.961421094	24.61569927
Phoca_vitulina	2.498310554	4.867084291	23.6885095
Phocarctos_hookeri	2.595220567	5.436957331	29.56050502
Potos_flavus	1.519499853	3.350538743	11.22610987
Procyon_lotor	1.613489453	3.696851278	13.66670937
Puma_concolor	2.187520721	4.735854292	22.42831588
Pusa_caspica	2.210853365	4.79761373	23.0170975
Pusa_hispida	2.292809665	4.839383762	23.4196352
Pusa_sibirica	2.273001272	4.951823035	24.52055137
Taxidea_taxus	1.724	3.607	13.010449
Urocyon_cinereoargenteus	1.571475904	3.57391544	12.77287157
Urocyon_littoralis	1.572	3.284	10.784656
Ursus_americanus	2.394451681	4.41480628	19.49051449
Ursus_arctos	2.52629619	5.117346434	26.18723453
Ursus_maritimus	2.705007959	5.501059262	30.261653
Vulpes_vulpes	1.695831773	3.570858726	12.75103204
Zalophus_californianus	2.607455023	4.959041392	24.59209153
Balaenoptera_borealis	3.69019608	7.56427143	57.21820227
Balaenoptera_musculus	3.826	7.527	56.655729
Balaenoptera_physalus	3.707570176	7.795880017	60.77574524
Delphinapterus_leucas	3.283527365	5.697447307	32.46090582
Delphinus_delphis	2.901600465	4.813493964	23.16972414
Eschrichtius_robustus	3.635148849	7.477121255	55.90734226
Globicephala_macrorhynchus	3.461348434	5.974603792	35.69589047
Globicephala_melas	3.498689534	5.949194774	35.39291846
Grampus_griseus	3.406710459	5.602059991	31.38307614
Inia_geoffrensis	2.801846012	4.958229314	24.58403793
Kogia_breviceps	3.008174184	5.484299839	30.07754472
Kogia_sima	2.793790385	5.226599905	27.31734657
Lagenorhynchus_acutus	3.079181246	5.270719702	27.78048618
Lagenorhynchus_albirostris	3.051538391	4.829303773	23.32217493
Lagenorhynchus_obliquidens	3.055664963	4.953034457	24.53255033
Lipotes_vexillifer	2.746634199	5.255272505	27.6178891
Megaptera_novaeangliae	3.785329835	7.477844476	55.91815801
Mesoplodon_densirostris	3.165244326	5.884795364	34.63081648
Mesoplodon_europaeus	3.332236415	5.864511081	34.39249022
Mesoplodon_mirus	3.371990911	5.968015714	35.61721156
Monodon_monoceros	3.476686743	6.198197811	38.4176561
Neophocaena_phocaenoides	2.670245853	4.51054501	20.34501629
Orcinus_orca	3.781898919	6.514946005	42.44452145
Phocoena_phocoena	2.718501689	4.687082845	21.9687456
Phocoenoides_dalli	2.920992437	4.992700761	24.92706089
Physeter_catodon	3.912917858	7.554287169	57.06725463
Platanista_gangetica	2.469822016	4.770852012	22.76102892
Platanista_minor	2.214843848	4.26245109	18.16848929
Pontoporia_blainvillei	2.344844019	4.542700969	20.63613209
Pseudorca_crassidens	3.634174872	6.301029996	39.70297901
Sotalia_fluviatilis	2.837588438	4.625312451	21.39351527
Stenella_attenuata	2.892	4.817	23.203489
Stenella_coeruleoalba	2.946329427	4.802773725	23.06663545
Stenella_longirostris	2.653212514	4.526339277	20.48774725
Steno_bredanensis	3.188084374	5.096412896	25.97342441
Tursiops_truncatus	3.196727846	5.231673437	27.37040695
Ziphius_cavirostris	3.301897717	6.356599436	40.40635639
Ametrida_centurio	-0.537602002	1.021189299	1.042827584
Anoura_caudifer	-0.392544977	1.025305865	1.051252117
Anoura_geoffroyi	-0.232102384	1.204119983	1.449904933
Ardops_nichollsi	-0.247951552	1.352182518	1.828397562
Artibeus_cinereus	-0.330683119	1.100370545	1.210815336
Artibeus_concolor	-0.19859629	1.28780173	1.658433296
Artibeus_glaucus	-0.322393047	1.086359831	1.180177682
Artibeus_jamaicensis	-0.031517051	1.574031268	2.477574433
Artibeus_lituratus	0.021189299	1.768638101	3.128080732
Artibeus_phaeotis	-0.348721986	1.071882007	1.148931037
Asellia_tridens	-0.619788758	1.10720997	1.225913918
Aselliscus_stoliczkanus	-0.823908741	0.69019608	0.476370629
Aselliscus_tricuspidatus	-0.872895202	0.643452676	0.414031346
Barbastella_barbastellus	-0.73754891	0.763427994	0.582822302
Brachyphylla_cavernarum	0.07773118	1.648360011	2.717090726
Cardioderma_cor	-0.173925197	1.414973348	2.002149576
Carollia_perspicillata	-0.327902142	1.204119983	1.449904933
Casinycteris_argynnis	-0.036212173	1.607455023	2.583911651
Chaerephon_pumilus	-0.537602002	1.123851641	1.263042511
Chalinolobus_gouldii	-0.619788758	1.068185862	1.141021036
Chalinolobus_morio	-0.735182177	0.919078092	0.844704539
Chiroderma_salvini	-0.089375595	1.416640507	2.006870326
Chiroderma_trinitatum	-0.270025714	1.136720567	1.292133647
Chiroderma_villosum	-0.151195299	1.394451681	1.944495491
Choeroniscus_minor	-0.410050399	0.982271233	0.964856775
Coleura_afra	-0.590066877	1.06069784	1.125079908
Cormura_brevirostris	-0.659555885	0.913813852	0.835055756
Craseonycteris_thonglongyai	-1.060480747	0.408239965	0.166659869
Cynopterus_brachyotis	-0.055517328	1.462397998	2.138607905
Cynopterus_horsfieldii	0.089905111	1.72427587	2.973127276
Cynopterus_sphinx	0.078819183	1.713490543	2.936049841
Desmodus_rotundus	-0.046723663	1.462397998	2.138607905
Diaemus_youngi	-0.013228266	1.539076099	2.368755239
Diphylla_ecaudata	-0.097997109	1.489958479	2.219976269
Eidolon_helvum	0.632457292	2.418301291	5.848181134
Emballonura_monticola	-0.779891912	0.72427587	0.524575536
Emballonura_raffrayana	-0.759450752	0.770852012	0.594212824
Eonycteris_spelaea	0.071882007	1.698970004	2.886499074
Eptesicus_brasiliensis	-0.698970004	0.963787827	0.928886975
Eptesicus_dimissus	-0.63638802	1.176091259	1.383190649
Eptesicus_fuscus	-0.623423043	1.133538908	1.284910456
Eptesicus_serotinus	-0.508638306	1.369215857	1.874752063
Eumops_auripendulus	-0.213248578	1.5289167	2.337586276
Furipterus_horrens	-0.896196279	0.53529412	0.286539795
Glischropus_tylopus	-1	0.69019608	0.476370629
Glossophaga_longirostris	-0.361510743	1.053078443	1.108974207
Glossophaga_soricina	-0.408935393	1.049218023	1.10085846
Harpiocephalus_harpia	-0.354577731	1.130333768	1.277654427
Hesperoptenus_blanfordi	-0.801342913	0.86332286	0.745326361
Hipposideros_armiger	-0.096910013	1.748188027	3.056161378
Hipposideros_ater	-0.671620397	0.838849091	0.703667797
Hipposideros_bicolor	-0.619788758	0.924279286	0.854292199
Hipposideros_caffer	-0.494850022	1.029383778	1.059630962
Hipposideros_commersoni	-0.125518182	1.996511672	3.986058856
Hipposideros_diadema	-0.151810883	1.622214023	2.631578336
Hipposideros_fulvus	-0.627087997	0.84509804	0.714190697
Hipposideros_galeritus	-0.555955204	1.017033339	1.034356813
Hipposideros_lankadiva	-0.134896025	1.685741739	2.841725211
Hipposideros_larvatus	-0.384049948	1.311753861	1.720698192
Hipposideros_ridleyi	-0.571865206	0.982271233	0.964856775
Hipposideros_ruber	-0.576754126	0.86332286	0.745326361
